time,newborn
2010. 07,37106
2010. 08,38392
2010. 09,42294
2010. 10,43625
2010. 11,41318
2010. 12,35517
2011. 01,47577
2011. 02,38160
2011. 03,43260
2011. 04,40376
2011. 05,38958
2011. 06,36766
2011. 07,38168
2011. 08,39360
2011. 09,38963
2011. 10,38359
2011. 11,37328
2011. 12,33990
2012. 01,44984
2012. 02,40609
2012. 03,43209
2012. 04,40094
2012. 05,39388
2012. 06,38170
2012. 07,40127
2012. 08,41455
2012. 09,41735
2012. 10,41889
2012. 11,38579
2012. 12,34311
2013. 01,44247
2013. 02,36645
2013. 03,38540
2013. 04,36738
2013. 05,35626
2013. 06,33154
2013. 07,36188
2013. 08,36400
2013. 09,37063
2013. 10,36055
2013. 11,33827
2013. 12,31972
2014. 01,41229
2014. 02,36754
2014. 03,38021
2014. 04,37183
2014. 05,35749
2014. 06,34171
2014. 07,36390
2014. 08,36539
2014. 09,37879
2014. 10,36450
2014. 11,32379
2014. 12,32691
2015. 01,41914
2015. 02,35709
2015. 03,40329
2015. 04,38072
2015. 05,36534
2015. 06,35520
2015. 07,36612
2015. 08,35207
2015. 09,36444
2015. 10,36702
2015. 11,33467
2015. 12,31910
2016. 01,39405
2016. 02,34830
2016. 03,38131
2016. 04,35147
2016. 05,34341
2016. 06,32849
2016. 07,33920
2016. 08,33897
2016. 09,34375
2016. 10,31592
2016. 11,30366
2016. 12,27390
2017. 01,34834
2017. 02,30499
2017. 03,33196
2017. 04,30337
2017. 05,30303
2017. 06,28892
2017. 07,29418
2017. 08,30135
2017. 09,30085
2017. 10,27857
2017. 11,27068
2017. 12,25147
2018. 01,32198
2018. 02,27575
2018. 03,29987
2018. 04,27734
2018. 05,27949
2018. 06,26357
2018. 07,27033
2018. 08,27381
2018. 09,26066
2018. 10,26474
2018. 11,25301
2018. 12,22767
2019. 01,30271
2019. 02,25710
2019. 03,27049
2019. 04,26104
2019. 05,25299
2019. 06,23992
2019. 07,25222
2019. 08,24371
2019. 09,24090
2019. 10,25613
2019. 11,23727
2019. 12,21228
2020. 01 p),26818
2020. 02 p),22854
2020. 03 p),24378
2020. 04 p),23420
2020. 05 p),23001
2020. 06 p),22193
2020. 07 p),23067
2020. 08 p),22472
